YEAR,MO,DY,WSA,TA,DA,RHA,RA,PSA,Deng,Season
2000,1,1,1.474333333,18.33866667,9.213548387,59.04516129,0.273548387,101.2480645,0,winter
2000,2,1,1.623666667,20.28633333,7.788666667,49.47033333,0.894,101.1273333,0,winter
2000,3,1,1.911290323,25.43096774,12.75322581,52.02516129,2.845806452,100.7851613,0,winter
2000,4,1,1.46516129,29.62366667,21.16933333,65.28333333,5.794666667,100.3686667,0,summer
2000,5,1,2.201612903,28.67774194,24.65709677,80.64709677,14.88451613,100.2380645,0,summer
2000,6,1,2.670666667,28.35166667,26.28366667,88.95833333,7.453333333,99.99733333,0,summer
2000,7,1,2.912258065,28.33419355,26.12935484,88.31225806,5.881935484,99.89354839,565,monsoon
2000,8,1,2.478709677,28.0983871,26.15483871,89.55258065,13.26774194,100.0570968,2290,monsoon
2000,9,1,2.079,27.09833333,25.17466667,89.59366667,6.391,100.3683333,951,monsoon
2000,10,1,1.341,26.53193548,23.35709677,83.63,6.677419355,100.6341935,835,monsoon
2000,11,1,1.092333333,22.36233333,17.80966667,76.74633333,0.137666667,101.1303333,724,winter
2000,12,1,1.133548387,18.17064516,11.7183871,68.32870968,0.00483871,101.2758065,186,winter
2001,1,1,1.443225806,16.38612903,6.952580645,56.78387097,0.002580645,101.2041935,0,winter
2001,2,1,1.429666667,21.75535714,8.29,46.08107143,1.298571429,100.9546429,0,winter
2001,3,1,1.650322581,26.57483871,10.41612903,41.35193548,0.729032258,100.8106452,0,winter
2001,4,1,2.320666667,30.85066667,17.35433333,49.73333333,2.552333333,100.5543333,0,summer
2001,5,1,2.244193548,28.76516129,24.7483871,80.47064516,11.52290323,100.1951613,5,summer
2001,6,1,3.207333333,27.954,26.138,90.15233333,15.80666667,99.888,24,summer
2001,7,1,3.159032258,28.08096774,26.27709677,90.19354839,8.788064516,99.92870968,152,monsoon
2001,8,1,2.297419355,28.3216129,26.40387097,89.68967742,6.419677419,100.0506452,310,monsoon
2001,9,1,1.809666667,27.94233333,25.39966667,86.64633333,7.056666667,100.414,655,monsoon
2001,10,1,1.184193548,26.45645161,23.76806452,85.82225806,6.586774194,100.7864516,611,monsoon
2001,11,1,1.169666667,22.658,18.67333333,79.45366667,0.935666667,101.2436667,514,winter
2001,12,1,1.200967742,17.80483871,11.96967742,71.16516129,0.142580645,101.5232258,159,winter
2002,1,1,1.379354839,18.63516129,10.40419355,61.69096774,0.453548387,101.3777419,0,winter
2002,2,1,1.494666667,21.87166667,8.422,45.62333333,0.042666667,101.3416667,0,winter
2002,3,1,1.673548387,26.88709677,12.52612903,45.93096774,2.327096774,100.8651613,0,winter
2002,4,1,2.431,29.47533333,20.54066667,62.47566667,4.954333333,100.5986667,0,summer
2002,5,1,2.572580645,29.92290323,24.20806452,73.98096774,7.293870968,100.1580645,0,summer
2002,6,1,2.864333333,28.47633333,26.19833333,88.02766667,12.50066667,100.0366667,0,summer
2002,7,1,2.69516129,28.51741935,26.73677419,90.36322581,13.50451613,99.89032258,566,monsoon
2002,8,1,2.431935484,27.69709677,25.95387097,90.48903226,8.439677419,100.1054839,3281,monsoon
2002,9,1,1.723,27.28733333,25.08166667,88.23366667,5.837333333,100.521,1713,monsoon
2002,10,1,1.299354839,25.63096774,22.20354839,82.27064516,1.810322581,100.8819355,541,monsoon
2002,11,1,1.253333333,22.53733333,18.34333333,78.60166667,4.293333333,101.129,121,winter
2002,12,1,1.190645161,18.86580645,13.46774194,72.87322581,0.433870968,101.3680645,10,winter
2003,1,1,1.508064516,16.19774194,8.585483871,64.11096774,0.785806452,101.5187097,0,winter
2003,2,1,1.526333333,21.674,12.37333333,58.71366667,1.112333333,101.249,0,winter
2003,3,1,1.539354839,25.01096774,14.32064516,55.93322581,3.390322581,100.9806452,0,winter
2003,4,1,2.313666667,29.73966667,21.48833333,65.16266667,4.38,100.607,2,summer
2003,5,1,2.362258065,30.59741935,22.91709677,66.74,4.820645161,100.2658065,1,summer
2003,6,1,3.576333333,28.80133333,25.88133333,85.66233333,17.58766667,99.84,0,summer
2003,7,1,2.819032258,28.43064516,26.43774194,89.30806452,5.963548387,100.11,4,monsoon
2003,8,1,2.532903226,28.62225806,26.34032258,87.96774194,6.004516129,100.1206452,4,monsoon
2003,9,1,1.691333333,27.737,25.63466667,88.73,6.810333333,100.381,3,monsoon
2003,10,1,1.337741935,26.39967742,23.54290323,84.93419355,4.940645161,100.8829032,0,monsoon
2003,11,1,1.228333333,21.69366667,17.42466667,78.45,0.253666667,101.2546667,372,winter
2003,12,1,1.435806452,18.75387097,14.04354839,76.45774194,1.217741935,101.463871,100,winter
2004,1,1,1.488064516,17.67709677,10.82516129,67.3283871,0.116451613,101.3809677,0,winter
2004,2,1,1.473333333,21.15466667,9.996666667,53.21233333,0.130333333,101.1856667,0,winter
2004,3,1,1.473333333,21.15466667,9.996666667,53.21233333,0.130333333,101.1856667,1,winter
2004,4,1,2.836666667,29.181,21.849,67.877,7.631333333,100.551,0,summer
2004,5,1,2.495806452,30.63258065,23.19967742,67.93096774,4.298064516,100.1770968,1,summer
2004,6,1,2.388666667,29.1,25.495,82.14166667,11.84833333,100.091,143,summer
2004,7,1,2.924193548,27.93677419,26.04387097,89.76870968,13.35870968,100.0822581,1209,monsoon
2004,8,1,2.613548387,28.12548387,26.25387097,89.88935484,7.001612903,100.0054839,1261,monsoon
2004,9,1,2.104333333,27.02333333,25.27866667,90.45266667,19.80866667,100.531,511,monsoon
2004,10,1,1.602258065,25,22.27903226,85.62322581,6.243870968,101.0864516,362,monsoon
2004,11,1,1.06,21.53433333,17.385,78.59733333,0.034666667,101.323,395,winter
2004,12,1,1.07,19.49129032,14.08806452,73.07290323,0.032903226,101.4019355,51,winter
2005,1,1,1.530322581,17.65935484,11.18193548,68.54451613,0.154193548,101.3545161,1,winter
2005,2,1,1.876333333,23.01166667,11.91566667,54.22733333,0.273333333,101.1566667,0,winter
2005,3,1,2.102903226,27.71,16.79,56.24225806,4.89516129,100.9006452,0,winter
2005,4,1,2.059666667,29.044,20.263,63.46433333,3.138,100.7696667,0,summer
2005,5,1,2.191290323,29.38419355,23.67580645,73.89677419,7.957419355,100.3393548,0,summer
2005,6,1,2.52,29.869,25.72366667,79.69633333,4.131666667,99.85666667,2,summer
2005,7,1,2.709354839,28.37290323,26.17419355,88.33096774,13.30322581,100.0532258,3,monsoon
2005,8,1,2.359032258,28.52612903,26.45225806,88.93322581,11.36967742,99.95967742,174,monsoon
2005,9,1,1.535333333,27.85733333,25.65266667,88.26033333,10.62266667,100.4316667,337,monsoon
2005,10,1,1.477419355,25.85064516,23.17258065,85.82548387,10.41870968,100.9335484,325,monsoon
2005,11,1,1.205666667,21.262,17.83866667,81.92633333,0.067,101.161,187,winter
2005,12,1,1.37516129,18.08032258,14.20387097,79.75967742,0.022580645,101.2580645,19,winter
2006,1,1,1.428387097,17.17774194,10.67548387,68.60709677,0.000645161,101.3187097,0,winter
2006,2,1,1.566,23.73433333,13.60466667,58.06,0.260333333,101.078,0,winter
2006,3,1,1.559677419,27.28677419,11.54580645,42.52903226,0.107741935,100.8251613,0,winter
2006,4,1,2.265333333,29.71833333,20.679,62.18866667,5.525666667,100.5376667,0,summer
2006,5,1,2.234516129,29.96032258,23.35806452,70.87451613,9.834193548,100.3335484,0,summer
2006,6,1,2.303666667,28.48266667,26.31533333,88.452,11.45666667,100.106,100,summer
2006,7,1,2.980322581,28.45709677,26.43419355,89.16516129,8.328387097,99.8916129,972,monsoon
2006,8,1,2.391935484,27.93032258,25.75870968,88.41935484,7.305806452,100.1103226,680,monsoon
2006,9,1,1.967666667,27.62866667,25.29166667,87.626,12.556,100.4776667,211,monsoon
2006,10,1,0.990322581,26.28064516,22.6883871,81.45419355,2.371612903,100.973871,145,monsoon
2006,11,1,1.222,22.32833333,17.31,74.987,0.142666667,101.197,92,winter
2006,12,1,1.274516129,19.25516129,12.88870968,69.05225806,0.02516129,101.4135484,0,winter
2007,1,1,1.396451613,17.39193548,7.876774194,56.83903226,0,101.4919355,0,winter
2007,2,1,1.564,21.402,12.20533333,59.52333333,1.58,101.214,0,winter
2007,3,1,1.566129032,25.68935484,10.50354839,43.29032258,0.351290323,100.9280645,0,winter
2007,4,1,2.736,29.27233333,21.12466667,65.345,7.565,100.67,0,summer
2007,5,1,2.010645161,29.33548387,23.80354839,74.49,7.081612903,100.27,0,summer
2007,6,1,2.606666667,28.374,26.349,89.206,18.91,100.0816667,0,summer
2007,7,1,3.078064516,28.18225806,26.41032258,90.39516129,22.25,99.95741935,85,monsoon
2007,8,1,2.087741935,28.35645161,26.27645161,88.91967742,9.097741935,100.0377419,179,monsoon
2007,9,1,1.854,27.44233333,25.45766667,89.321,6.609,100.2866667,163,monsoon
2007,10,1,1.476774194,25.53387097,22.73225806,85.16419355,7.982580645,100.7335484,39,monsoon
2007,11,1,1.442666667,22.44733333,19.20733333,82.953,2.65,101.1063333,0,winter
2007,12,1,1.343225806,17.43,13.18612903,77.9783871,0,101.306129,0,winter
2008,1,1,1.420967742,17.45258065,11.62870968,71.27903226,1.057741935,101.2658065,0,winter
2008,2,1,1.342,19.271,10.14566667,59.19966667,0.562333333,101.2213333,0,winter
2008,3,1,1.342,19.271,10.14566667,59.19966667,0.562333333,101.2213333,0,winter
2008,4,1,2.007,30.023,18.44933333,54.55133333,2.097,100.5196667,0,summer
2008,5,1,1.966129032,30.92387097,22.63,64.16709677,6.02483871,100.1583871,0,summer
2008,6,1,3.148333333,28.43533333,25.53566667,85.07533333,10.33066667,99.978,160,summer
2008,7,1,2.965483871,28.21774194,26.20870968,89.22290323,9.595483871,99.95516129,475,monsoon
2008,8,1,2.529354839,27.95322581,26.02322581,89.61354839,8.797419355,100.1270968,334,monsoon
2008,9,1,1.640666667,27.57466667,25.437,88.57633333,5.826333333,100.3863333,184,monsoon
2008,10,1,1.566129032,25.85064516,22.92064516,84.77806452,6.381935484,100.8467742,0,monsoon
2008,11,1,1.131,22.33366667,17.69533333,76.63733333,0.005333333,101.1576667,0,winter
2008,12,1,1.094516129,20.39387097,15.27129032,74.63193548,0.19516129,101.2922581,0,winter
2009,1,1,1.34,19.53,12.16096774,65.40612903,0,101.3935484,0,winter
2009,2,1,1.695,22.208,9.469,49.42866667,0.365,101.0083333,0,winter
2009,3,1,1.527419355,27.27387097,11.39354839,42.86322581,1.192258065,100.8016129,0,winter
2009,4,1,2.502666667,30.897,19.49966667,56.73333333,1.738333333,100.4713333,0,summer
2009,5,1,2.469354839,30.10354839,23.61354839,70.90903226,7.786774194,100.2658065,1,summer
2009,6,1,2.62,29.24366667,25.929,83.404,9.23,99.96833333,0,summer
2009,7,1,2.913870968,28.72129032,26.3916129,87.73,13.54096774,99.87516129,4,monsoon
2009,8,1,2.173870968,28.46967742,26.24935484,88.23,13.17129032,100.2119355,127,monsoon
2009,9,1,1.77,27.70966667,25.58966667,88.67566667,7.105333333,100.399,188,monsoon
2009,10,1,1.46516129,25.53290323,22.68741935,85.17032258,3.713225806,100.7780645,154,monsoon
2009,11,1,1.256333333,22.534,18.50533333,79.45666667,0.752333333,101.1536667,0,winter
2009,12,1,1.251935484,18.52225806,13.39,74.27354839,0.179677419,101.3748387,0,winter
2010,1,1,1.608709677,17.70935484,9.802580645,63.63677419,0.000967742,101.4522581,0,winter
2010,2,1,1.554,21.67,9.395666667,49.06933333,0.646333333,101.1743333,0,winter
2010,3,1,2.550322581,28.1216129,14.48483871,49.05451613,1.293548387,100.7987097,0,winter
2010,4,1,3.576333333,31.16833333,21.93366667,62.67133333,3.578333333,100.531,0,summer
2010,5,1,2.674516129,29.57548387,24.61645161,76.85387097,10.08580645,100.2609677,0,summer
2010,6,1,3.048333333,28.64066667,26.669,89.442,12.91766667,100.117,0,summer
2010,7,1,2.759354839,28.58774194,26.38,88.34483871,5.426129032,100.2209677,35,monsoon
2010,8,1,2.167741935,28.40774194,26.04258065,87.56935484,8.84516129,100.3164516,183,monsoon
2010,9,1,1.741333333,27.632,25.556,88.91433333,6.371,100.4756667,165,monsoon
2010,10,1,1.49,26.39580645,23.76709677,86.11096774,6.7,100.603871,21,monsoon
2010,11,1,1.172,23.63266667,19.46033333,78.74033333,0.263333333,101.064,5,winter
2010,12,1,1.421612903,18.61225806,13.71548387,75.13967742,2.026451613,101.0654839,0,winter
2011,1,1,1.529677419,16.78903226,9.735483871,66.09903226,0.009032258,101.2345161,0,winter
2011,2,1,1.691,21.83433333,10.24933333,51.831,0.036,101.0803333,0,winter
2011,3,1,2.495483871,26.92,14.2683871,50.78032258,1.343225806,100.7980645,0,winter
2011,4,1,1.763666667,29.23066667,19.22466667,58.61833333,3.041333333,100.7216667,0,summer
2011,5,1,2.375806452,29.46,24.2583871,75.90870968,9.53483871,100.3132258,0,summer
2011,6,1,2.559333333,28.579,25.87133333,86.00133333,8.974666667,99.885,61,summer
2011,7,1,2.72,28.38387097,26.00709677,87.49677419,7.664516129,100.0464516,255,monsoon
2011,8,1,2.292903226,27.79903226,25.94419355,90.02225806,14.99451613,100.1832258,691,monsoon
2011,9,1,2.363,27.671,25.75266667,89.66866667,5.946,100.2533333,193,monsoon
2011,10,1,1.226774194,26.67225806,23.00032258,81.26806452,1.331290323,100.7909677,114,monsoon
2011,11,1,1.140333333,23.01566667,16.85466667,70.72,0.005,101.1623333,36,winter
2011,12,1,1.264516129,19.73483871,12.51032258,66.40709677,0.006129032,101.2845161,9,winter
2012,1,1,1.661935484,18.31548387,9.147419355,58.22741935,0.385483871,101.3029032,0,winter
2012,2,1,1.664,21.61066667,6.985333333,43.12666667,0.595,100.9993333,0,winter
2012,3,1,1.664,21.61066667,6.985333333,43.12666667,0.595,100.9993333,0,winter
2012,4,1,2.798,29.43633333,21.35833333,66.31133333,7.493333333,100.527,0,summer
2012,5,1,2.249677419,30.13548387,24.17580645,72.82645161,4.712258065,100.2077419,0,summer
2012,6,1,3.402666667,29.51566667,26.17266667,83.30566667,8.039333333,99.746,16,summer
2012,7,1,3.368064516,28.67290323,26.20903226,87.13354839,8.829677419,99.85354839,108,monsoon
2012,8,1,2.501612903,28.20225806,26.19548387,89.23645161,9.030967742,100.0529032,138,monsoon
2012,9,1,2.131666667,27.62833333,25.791,90.05833333,5.436,100.393,262,monsoon
2012,10,1,1.700645161,25.22096774,22.24064516,84.6683871,2.301612903,100.8519355,90,monsoon
2012,11,1,1.522333333,21.22266667,16.263,75.598,1.994,101.041,57,winter
2012,12,1,1.489354839,17.00064516,10.24516129,67.37548387,0.14483871,101.2090323,0,winter
2013,1,1,1.866129032,16.19225806,6.691290323,56.74419355,0.005806452,101.3725806,0,winter
2013,2,1,2.287666667,21.64866667,8.103,45.84333333,0.252666667,101.142,0,winter
2013,3,1,1.740322581,27.44741935,12.34516129,44.21387097,0.771290323,100.8322581,0,winter
2013,4,1,2.526666667,30.473,18.698,54.794,2.591666667,100.4873333,0,summer
2013,5,1,3.445483871,28.79129032,25.22806452,82.81870968,14.60387097,100.1512903,4,summer
2013,6,1,2.659,28.71233333,26.55233333,88.55566667,9.924666667,99.92033333,44,summer
2013,7,1,3.256774194,28.43741935,26.33967742,88.81709677,7.207419355,99.84741935,220,monsoon
2013,8,1,2.720322581,27.86096774,26.01354839,89.98,7.192903226,100.1006452,353,monsoon
2013,9,1,1.811666667,27.94,25.74266667,88.329,6.328666667,100.3153333,495,monsoon
2013,10,1,1.430645161,26.26483871,23.81903226,87.02870968,5.341935484,100.8303226,363,monsoon
2013,11,1,1.358666667,22.37533333,18.33533333,79.44,0,101.1276667,212,winter
2013,12,1,1.269677419,19.61193548,13.71193548,71.35548387,0.067741935,101.2619355,58,winter
2014,1,1,1.680645161,18.24548387,10.82129032,65.58741935,0.000645161,101.4832258,15,winter
2014,2,1,1.702,21.24933333,9.857333333,51.986,0.528333333,101.11,7,winter
2014,3,1,1.883548387,26.69645161,12.15322581,45.31870968,0.545806452,100.9725806,2,winter
2014,4,1,2.100666667,31.85966667,17.925,48.87333333,2.356333333,100.5863333,0,summer
2014,5,1,2.954193548,31.41387097,23.25032258,65.60677419,7.916774194,100.3480645,8,summer
2014,6,1,2.920333333,29.50333333,26.71466667,85.784,14.426,99.82266667,9,summer
2014,7,1,2.928709677,28.65935484,26.58322581,88.90483871,7.220967742,99.89806452,82,monsoon
2014,8,1,2.804193548,28.16709677,26.24322581,89.61451613,11.93129032,100.1374194,80,monsoon
2014,9,1,2.103,27.796,25.613,88.41666667,8.824666667,100.4156667,76,monsoon
2014,10,1,0.966129032,26.34193548,22.50677419,80.34451613,1.858064516,100.9683871,63,monsoon
2014,11,1,1.030666667,23.00533333,17.20166667,71.70166667,0.001,101.0773333,22,winter
2014,12,1,1.221612903,18.93741935,12.53967742,69.06709677,0.188064516,101.336129,11,winter
2015,1,1,1.35483871,19.16548387,10.47612903,60.09645161,0.15483871,101.4219355,0,winter
2015,2,1,1.482333333,22.83033333,11.42166667,51.926,0.799666667,101.2396667,0,winter
2015,3,1,1.944193548,26.97677419,12.17032258,44.06451613,0.657096774,101.0606452,2,winter
2015,4,1,2.232333333,27.96066667,21.87966667,72.179,8.495666667,100.7426667,6,summer
2015,5,1,2.406129032,29.2816129,24.74709677,78.36064516,7.076451613,100.3829032,10,summer
2015,6,1,2.927333333,28.79433333,26.05966667,85.956,13.67066667,100.0623333,28,summer
2015,7,1,2.861290323,28.07741935,26.35612903,90.63967742,19.60967742,99.8883871,171,monsoon
2015,8,1,2.573548387,28.1616129,26.37322581,90.26774194,10.27129032,100.2019355,765,monsoon
2015,9,1,1.64,28.10933333,25.67433333,87.228,7.097,100.447,965,monsoon
2015,10,1,1.089677419,26.73709677,23.07935484,81.15516129,2.149032258,100.9629032,869,monsoon
2015,11,1,0.913,23.977,18.122,71.49466667,0.070666667,101.206,271,winter
2015,12,1,1.138709677,19.95096774,12.31645161,63.56548387,0.05,101.4325806,75,winter
2016,1,1,1.275483871,18.89645161,9.328709677,56.50032258,1.455483871,101.4267742,13,winter
2016,2,1,1.456666667,24.113,13.163,54.32266667,1.298,101.2613333,3,winter
2016,3,1,1.456666667,24.113,13.163,54.32266667,1.298,101.2613333,17,winter
2016,4,1,3.387333333,30.327,23.023,69.43766667,4.843333333,100.3876667,38,summer
2016,5,1,2.141612903,29.36516129,24.61677419,77.67225806,15.93645161,100.3035484,70,summer
2016,6,1,2.334666667,28.801,26.48233333,87.85033333,7.228666667,100.1676667,254,summer
2016,7,1,2.902580645,28.22645161,26.36354839,89.91225806,17.59967742,100.0912903,926,monsoon
2016,8,1,2.480645161,28.35064516,26.38,89.41548387,12.3916129,100.0183871,1451,monsoon
2016,9,1,1.639333333,27.983,25.934,89.019,10.64166667,100.3573333,1544,monsoon
2016,10,1,1.261290323,26.84935484,24.07096774,85.46903226,5.377419355,100.6229032,1077,monsoon
2016,11,1,1.127333333,22.941,19.25633333,80.74966667,4.088666667,101.083,522,winter
2016,12,1,1.111935484,20.00580645,15.96741935,78.91774194,0.022258065,101.2654839,145,winter
2017,1,1,1.517741935,18.29290323,10.99258065,65.19548387,0.100322581,101.3580645,92,winter
2017,2,1,1.553,22.68933333,10.79266667,50.797,0.5,101.227,58,winter
2017,3,1,1.971612903,24.97451613,16.77548387,65.1383871,7.60516129,100.8632258,36,winter
2017,4,1,2.791666667,27.34733333,23.77833333,82.81866667,18.22433333,100.577,73,summer
2017,5,1,1.837741935,28.48709677,25.76,85.79258065,12.55032258,100.3729032,134,summer
2017,6,1,2.736,28.33166667,26.79066667,91.51666667,23.35633333,99.992,267,summer
2017,7,1,2.734193548,28.14580645,26.55516129,91.25096774,24.4583871,100.0251613,286,monsoon
2017,8,1,2.205483871,28.29580645,26.53677419,90.43935484,28.39354839,100.1516129,346,monsoon
2017,9,1,1.650333333,28.11766667,26.21933333,89.766,18.06266667,100.43,430,monsoon
2017,10,1,1.501612903,26.43806452,23.76580645,85.88677419,13.27322581,100.7096774,512,monsoon
2017,11,1,1.237333333,22.286,18.67466667,81.04733333,0.623,101.104,409,winter
2017,12,1,1.062903226,20.05032258,16.69580645,82.04032258,4.185806452,101.3458065,126,winter
2018,1,1,1.305483871,15.39129032,10.43483871,73.94612903,0.176451613,101.2254839,26,winter
2018,2,1,1.286,21.568,14.12266667,65.192,0.985333333,101.174,7,winter
2018,3,1,1.634516129,26.54,16.77967742,59.6716129,2.013225806,100.8425806,19,winter
2018,4,1,1.668333333,27.45533333,22.019,74.75033333,13.70566667,100.6973333,29,summer
2018,5,1,2.142903226,27.65935484,25.41741935,88.09193548,20.18290323,100.4535484,52,summer
2018,6,1,2.449333333,28.423,26.68833333,90.55666667,16.10933333,99.90533333,295,summer
2018,7,1,2.805806452,28.62612903,26.78741935,90.07870968,15.4916129,99.82290323,946,monsoon
2018,8,1,2.273870968,28.45419355,26.57258065,89.81677419,9.031935484,99.91645161,1796,monsoon
2018,9,1,1.738333333,28.234,25.75133333,86.96166667,6.815333333,100.4706667,3087,monsoon
2018,10,1,1.211612903,25.66225806,21.59483871,79.39677419,2.295806452,101.0096774,2406,monsoon
2018,11,1,1.106333333,22.88666667,17.221,72.054,0.720666667,101.2483333,1192,winter
2018,12,1,1.370322581,18.94612903,12.38709677,68.1683871,1.008064516,101.3690323,293,winter
2019,1,1,1.342903226,18.98225806,9.560645161,57.14129032,0,101.4748387,38,winter
2019,2,1,1.583333333,21.73166667,10.62566667,53.48666667,2.902333333,101.273,18,winter
2019,3,1,1.797419355,25.60677419,14.85516129,56.37935484,1.266451613,100.9674194,17,winter
2019,4,1,2.086333333,29.443,21.26966667,65.50433333,4.349333333,100.6593333,58,summer
2019,5,1,2.900967742,29.92225806,25.25451613,78.30225806,14.10290323,100.3283871,193,summer
2019,6,1,2.348666667,28.94466667,26.82433333,88.729,16.51633333,100.0536667,1884,summer
2019,7,1,3.051290323,28.52354839,26.79677419,90.61129032,24.12387097,99.98096774,16253,monsoon
2019,8,1,2.257741935,28.57225806,26.56032258,89.24225806,11.9083871,100.0312903,52636,monsoon
2019,9,1,1.767333333,28.03066667,25.756,87.915,10.54666667,100.566,16856,monsoon
2019,10,1,1.317741935,25.92935484,23.40516129,86.54580645,9.637419355,100.9651613,8143,monsoon
2019,11,1,1.097666667,23.46833333,19.92266667,81.38833333,2.301666667,101.1306667,4011,winter
2019,12,1,1.276129032,17.85129032,14.48225806,81.69774194,0.380645161,101.5016129,1247,winter
2020,1,1,1.350645161,16.81967742,12.81419355,78.86741935,1.574193548,101.4487097,199,winter
2020,2,1,1.384333333,19.54666667,11.84533333,63.69833333,0.090666667,101.4176667,45,winter
2020,3,1,1.384333333,19.54666667,11.84533333,63.69833333,0.090666667,101.4176667,27,winter
2020,4,1,1.841666667,28.19366667,20.64533333,68.008,8.626666667,100.8216667,25,summer
2020,5,1,2.166774194,28.42322581,24.85322581,81.9916129,16.7916129,100.4474194,10,summer
2020,6,1,2.609666667,28.37733333,26.664,90.679,14.859,100.1663333,20,summer
2020,7,1,2.742258065,28.61096774,26.83322581,90.36193548,14.57677419,100.1525806,23,monsoon
2020,8,1,2.630967742,28.43967742,26.56483871,89.89709677,9.133870968,99.99677419,68,monsoon
2020,9,1,1.942666667,28.447,26.43233333,89.229,12.166,100.3446667,47,monsoon
2020,10,1,1.17516129,27.74612903,25.21645161,86.67516129,12.70677419,100.5448387,164,monsoon
2020,11,1,1.090666667,22.74933333,19.276,81.84433333,1.268,101.251,546,winter
2020,12,1,1.05483871,18.16774194,14.71612903,81.27451613,0.064193548,101.3264516,231,winter
2021,1,1,1.271290323,17.56870968,12.58387097,74.58032258,0.103870968,101.2709677,32,winter
2021,2,1,1.480333333,21.274,11.221,56.16666667,0.001666667,101.1863333,9,winter
2021,3,1,1.64,27.91322581,14.94967742,50.57612903,0.91483871,100.8193548,13,winter
2021,4,1,1.877666667,30.67833333,18.66,53.29266667,2.981333333,100.6596667,3,summer
2021,5,1,1.990645161,29.46387097,24.0383871,74.57483871,11.62225806,100.4122581,43,summer
2021,6,1,2.955333333,28.253,26.26933333,89.33733333,15.749,100.0983333,272,summer
2021,7,1,2.705806452,28.55419355,26.53322581,89.14935484,13.29806452,99.99967742,2286,monsoon
2021,8,1,2.518064516,28.34096774,26.47258065,89.91806452,12.9616129,100.2090323,7698,monsoon
2021,9,1,1.61,27.83333333,25.66233333,88.429,7.677666667,100.4556667,7841,monsoon
2021,10,1,1.319354839,26.81580645,23.91645161,84.73129032,6.894193548,100.7287097,5458,monsoon
2021,11,1,1.095333333,21.48666667,17.684,80.00566667,0.591666667,101.1323333,3567,winter
2021,12,1,1.306129032,18.64645161,15.09193548,81.01806452,3.473548387,101.4625806,1207,winter
2022,1,1,1.338709677,17.56354839,13.11806452,76.96225806,0.771290323,101.34,126,winter
2022,2,1,1.513,19.24833333,12.071,66.048,1.538666667,101.2026667,20,winter
2022,3,1,2.091935484,26.83129032,15.93903226,55.65677419,0.245806452,100.7567742,20,winter
2022,4,1,3.007666667,31.29266667,21.33166667,59.613,0.922666667,100.5166667,23,summer
2022,5,1,2.41483871,30.78935484,22.76387097,65.03774194,4.130645161,100.2029032,163,summer
2022,6,1,3.282,29.53433333,24.76366667,77.23133333,7.373333333,100.13,737,summer
2022,7,1,2.39516129,29.08967742,25.38516129,81.5,5.247419355,100.1567742,1571,monsoon
2022,8,1,2.448387097,29.32903226,25.40645161,80.63645161,4.658064516,100.1322581,3521,monsoon
2022,9,1,1.785666667,28.172,25.506,86.19166667,9.223666667,100.4343333,9911,monsoon
2022,10,1,1.644193548,26.27870968,23.29032258,84.42774194,8.331935484,100.8658065,21932,monsoon
2022,11,1,0.915454545,24.84909091,19.93363636,74.99090909,0.07,101.2227273,18908,winter
2022,12,1,1.062903226,20.05032258,16.69580645,82.04032258,4.185806452,101.3458065,5024,winter
2023,1,1,1.305483871,15.39129032,10.43483871,73.94612903,0.176451613,101.2254839,566,winter
